run#	day	points nbr	morning	evening forseen	evening actual
48	1	46	06:16	17:54	17:46                                                                                                                                                                                                                                       
48	2	45	06:14	17:54	17:39                                                                                                                                                                                                                                       
48	3	45	06:20	17:53	17:45                                                                                                                                                                                                                                       
48	4	44	06:16	17:50	17:40                                                                                                                                                                                                                                       
48	5	44	06:19	17:54	17:40                                                                                                                                                                                                                                       
48	6	45	06:18	17:54	17:44                                                                                                                                                                                                                                       
48	7	46	06:20	17:54	17:50                                                                                                                                                                                                                                       
49	1	45	06:18	17:52	17:51                                                                                                                                                                                                                                       
49	2	43	06:23	17:49	17:44                                                                                                                                                                                                                                       
49	3	45	06:19	17:50	17:50                                                                                                                                                                                                                                       
49	4	42	06:18	17:51	17:47                                                                                                                                                                                                                                       
49	5	46	06:13	17:55	17:43                                                                                                                                                                                                                                       
49	6	44	06:13	17:53	17:39                                                                                                                                                                                                                                       
49	7	46	06:18	17:53	17:48                                                                                                                                                                                                                                       
50	1	45	06:15	17:51	17:46                                                                                                                                                                                                                                       
50	2	46	06:15	17:52	17:45                                                                                                                                                                                                                                       
50	3	45	06:17	17:50	17:35                                                                                                                                                                                                                                       
50	4	45	06:19	17:51	17:45                                                                                                                                                                                                                                       
50	5	40	06:19	17:50	17:43                                                                                                                                                                                                                                       
50	6	43	06:16	17:52	17:41                                                                                                                                                                                                                                       
50	7	45	06:17	17:55	17:42                                                                                                                                                                                                                                       
51	1	41	06:16	17:53	17:39                                                                                                                                                                                                                                       
51	2	40	06:13	17:48	17:47                                                                                                                                                                                                                                       
51	3	46	06:14	17:52	17:44                                                                                                                                                                                                                                       
51	4	45	06:13	17:51	17:38                                                                                                                                                                                                                                       
51	5	46	06:16	17:54	17:46                                                                                                                                                                                                                                       
51	6	45	06:19	17:51	17:36                                                                                                                                                                                                                                       
51	7	46	06:16	17:54	17:46                                                                                                                                                                                                                                       
52	1	46	06:18	17:54	17:48                                                                                                                                                                                                                                       
52	2	46	06:17	17:50	17:47                                                                                                                                                                                                                                       
52	3	45	06:16	17:49	17:31                                                                                                                                                                                                                                       
52	4	46	06:16	17:54	17:46                                                                                                                                                                                                                                       
52	5	46	06:19	17:56	17:49                                                                                                                                                                                                                                       
52	6	46	06:13	17:52	17:43                                                                                                                                                                                                                                       
52	7	44	06:21	17:52	17:51                                                                                                                                                                                                                                       
53	1	41	06:14	17:52	17:42                                                                                                                                                                                                                                       
53	2	44	06:17	17:52	17:42                                                                                                                                                                                                                                       
53	3	46	06:16	17:51	17:46                                                                                                                                                                                                                                       
53	4	45	06:15	17:54	17:45                                                                                                                                                                                                                                       
53	5	44	06:16	17:51	17:37                                                                                                                                                                                                                                       
53	6	46	06:18	17:54	17:48                                                                                                                                                                                                                                       
53	7	45	06:20	17:51	17:43                                                                                                                                                                                                                                       
54	1	38	06:22	17:57	17:52                                                                                                                                                                                                                                       
54	2	46	06:16	17:53	17:46                                                                                                                                                                                                                                       
54	3	42	06:17	17:53	17:44                                                                                                                                                                                                                                       
54	4	46	06:15	17:51	17:45                                                                                                                                                                                                                                       
54	5	43	06:16	17:53	17:51                                                                                                                                                                                                                                       
54	6	43	06:18	17:55	17:43                                                                                                                                                                                                                                       
54	7	45	06:17	17:51	17:32                                                                                                                                                                                                                                       
55	1	46	06:20	17:52	17:50                                                                                                                                                                                                                                       
55	2	35	06:15	17:50	17:44                                                                                                                                                                                                                                       
55	3	45	06:14	17:53	17:49                                                                                                                                                                                                                                       
55	4	46	06:18	17:51	17:48                                                                                                                                                                                                                                       
55	5	45	06:16	17:52	17:31                                                                                                                                                                                                                                       
55	6	44	06:18	17:53	17:48                                                                                                                                                                                                                                       
55	7	46	06:18	17:49	17:48                                                                                                                                                                                                                                       
56	1	46	06:20	17:52	17:50                                                                                                                                                                                                                                       
56	2	46	06:17	17:51	17:47                                                                                                                                                                                                                                       
56	3	45	06:14	17:51	17:44                                                                                                                                                                                                                                       
56	4	46	06:17	17:53	17:47                                                                                                                                                                                                                                       
56	5	45	06:20	17:52	17:45                                                                                                                                                                                                                                       
56	6	46	06:21	17:53	17:51                                                                                                                                                                                                                                       
56	7	45	06:23	17:53	17:38                                                                                                                                                                                                                                       
57	1	41	06:14	17:56	17:54                                                                                                                                                                                                                                       
57	2	45	06:21	17:51	17:36                                                                                                                                                                                                                                       
57	3	45	06:21	17:55	17:41                                                                                                                                                                                                                                       
57	4	45	06:17	17:52	17:44                                                                                                                                                                                                                                       
57	5	41	06:18	17:50	17:35                                                                                                                                                                                                                                       
57	6	45	06:18	17:52	17:46                                                                                                                                                                                                                                       
57	7	43	06:18	17:49	17:39                                                                                                                                                                                                                                       
58	1	46	06:17	17:51	17:47                                                                                                                                                                                                                                       
58	2	45	06:16	17:49	17:38                                                                                                                                                                                                                                       
58	3	45	06:15	17:52	17:39                                                                                                                                                                                                                                       
58	4	44	06:12	17:52	17:37                                                                                                                                                                                                                                       
58	5	43	06:19	17:51	17:26                                                                                                                                                                                                                                       
58	6	46	06:16	17:50	17:46                                                                                                                                                                                                                                       
58	7	42	06:21	17:50	17:49                                                                                                                                                                                                                                       
59	1	46	06:15	17:50	17:47                                                                                                                                                                                                                                       
